revenue,prediction_label
791863,111264120
132965488,106887088
38934048,144682768
14880939,81829952
920099968,141188192
9000000,90439160
549368320,131365840
132965488,114078512
1072602,68004168
76100000,123933160
15800000,63752376
366082784,108333400
44480040,115037944
317400000,147254752
52169,100829120
1671537408,220258688
132965488,91690016
185582096,94972608
2157673,71889616
122823472,108451336
13670688,107767632
42964408,113223656
210888944,83031480
30500000,121835944
27453418,66334340
62900000,119614656
347234912,124082680
132965488,134796096
793775,117365536
31899000,92336504
104945304,102224024
45629908,80181936
26700000,105181264
132965488,118903192
227300000,105269712
42064104,87622120
11838218,84851296
13129846,117357744
38122104,114911432
183953728,140715568
487300000,107121128
19693892,147545824
150000000,125635096
4229114,114309888
214945584,137286240
443807,77371736
132965488,116993104
128000000,140402704
71000000,76264880
33562068,121896128
14800000,125570648
18626420,114906248
59000000,76406656
12600000,75541992
299965024,120252928
125729632,104808984
149500000,131589240
4343227,109857904
19600000,124571312
8200000,82089112
13539709,100516896
624000000,127585232
14109284,124681008
829747648,102370648
113579920,92781272
74800000,109818992
20416564,116614336
110463136,117293904
72000000,76076880
112544576,100801936
177500000,154396640
52322400,116018656
3000000,99441408
61300000,121637408
254997360,187836592
56870416,102168920
84872448,99462096
26712476,116573464
193355808,133360016
331957120,155607264
250200000,138027696
250600000,89618800
62800000,121652168
1349926144,150244624
69995384,112394464
351040416,84410256
116500000,103588864
162100000,137978208
15440333,107860824
235666224,101407600
1189315,69408288
2052414976,264112432
12090735,67741152
116112376,86265208
76066840,92727784
1929659,85178576
655011200,160378560
132965488,115299888
100020096,87081360
2290649,98325296
5600000,98872120
30900000,114691584
42000000,120825656
8586376,108549944
21274716,111250792
22000000,80790576
51525172,104027112
17752940,117401664
139352640,103852176
108255768,124310560
96047632,89123096
126200000,92236296
2700051,87269600
17399000,105192880
2331721,67585968
25900000,73674480
43001500,113892808
103166992,107198616
132965488,138497184
147792048,118329576
9572765,99430264
31245810,123790216
6000000,89611600
57063860,108712048
260131,78442088
75700000,107667904
45200000,96941376
36489888,83870688
132965488,86036128
27728118,106682120
28645,101074480
123276808,134209312
68673232,84570232
64828420,90576872
132965488,75804608
379751136,268876736
10166820,91618120
240685328,77089696
30900000,92245624
25232288,125192328
261989776,116951072
11102672,142587344
8083123,77458560
150847200,96657320
19738016,112356384
527000000,109286512
134038008,143418688
54215416,87328848
10237061,116607336
1000000,82408912
275300000,103769080
86026200,56740276
180622432,122670016
2049761,90838152
5000000,80807832
165333184,102606936
304654176,115897960
14100000,111210528
21600000,98216240
16153953,98908016
7000000,138754912
67200000,116583512
19551068,140272064
1065699968,151158608
67711744,76599624
104088440,103667176
61279452,121734600
158674176,102571376
851517,112914512
44600000,124967960
200000000,91000616
38574360,92024040
1515399936,155240096
189015616,137310464
114660784,114440240
215394736,122353784
13583690,97676968
132965488,136716736
2500000,84191368
39220516,102834992
14894347,104361920
208076208,119976728
16690617,74157760
10130000,115872776
435000000,150878208
132965488,73664280
358994848,113065224
10609321,106313192
467282,104842640
24121244,74518544
122417392,123958640
78720296,80837432
11900000,99085712
45361000,122236864
168841456,119632432
21200000,85162880
20700000,70266456
12400000,94709824
362211744,136591056
877244800,174081280
203277632,144320064
3387000,86115608
9500000,83581432
371600000,140321120
187134112,146951760
142400000,91354368
54956140,110998520
11902746,88995520
18887952,69718080
132965488,86113872
434381216,103850520
104907744,136092016
141000000,106799960
363258848,197677056
132965488,111500512
121400000,103491896
89500000,124680128
481800864,121276472
132965488,91733880
96262208,83474400
2320250368,204855008
5224938,84402184
30500000,94944688
621537536,162356240
7011317,102100704
108300000,157706992
1000000,61957400
40452644,150908832
53329152,87367384
14500000,57618148
47300000,76124536
823970688,153553680
54000000,67767192
76249440,147221664
161800000,121144456
520000000,114249072
296187072,128416136
868439,87464968
513000,65394892
132965488,91483200
30100000,80105344
202292896,132752608
70700000,113664208
9000000,107925840
7027290,118373720
222800000,102091040
11949484,81403560
28600000,95768784
2300000,89329944
288670272,109678936
374743,107639152
424988224,131835880
9760104,88378704
30524764,76546888
374218688,127767616
20545116,85025208
122200000,65259020
17400000,70223192
72000000,120460136
1749201,80653936
130300000,114213200
942666,107722416
23006848,117058192
2689799,99038232
132965488,97709392
4800000,49285196
95396576,107325232
234801888,81835056
4000000,90971136
48975568,81160040
102952888,119614656
27500000,93297928
1430985,110287920
41087016,112595144
78903120,106164024
5900000,93443072
66166000,87134184
7200000,77178248
2281000,61853764
6254148,129907712
9644124,113204904
559852416,224731696
351700000,84664152
414351552,157620208
32500000,45231648
132675864,129559832
25603,94264584
1585582,110603120
206100000,112816432
403449824,154348768
22200000,94688408
321800000,120388608
79628200,109615960
93282608,99870728
7000000,52700956
50244700,88885640
34872032,79544016
29300000,120172912
77411568,88260304
61404392,107888176
91627232,121468136
7825000,48951568
131183528,117952736
553799552,153450528
270997376,186696256
393452096,156536032
2527904,107747864
1021103552,205246672
132965488,94079168
22754724,110712168
22231658,133419576
132965488,49453796
11000000,85487896
44902236,99706592
32000000,101573888
4942449,59122548
6682098,100711984
76000000,112110312
8000000,65329820
132965488,109247664
78396,113670432
132965488,134989840
9300000,108258712
5200000,109828216
34604000,108831152
216100000,76889000
10550350,78251456
71406576,102256720
91753200,110662256
132965488,85895720
132965488,116316792
3128540,36036796
13100000,104296184
154749920,79765256
285400000,145883744
89792504,109384200
132965488,117484880
16861136,104628224
2923706112,174655184
933847,131171352
164000000,105459544
40697760,113709144
59490000,127715672
132965488,125253688
42000000,84314544
20000000,112858400
19504040,100330408
39421468,105484032
895921024,152013376
30722632,68070224
62076140,55992960
67450816,115797560
276600000,132096968
970816,118732096
71009336,79373544
574480832,87112240
6157157,118602696
266500000,141171504
90810896,92059872
211800000,138084608
11700000,86248232
49114016,96587440
100266864,131534840
2350695,85590456
124909760,84221080
16000000,108985976
102731864,119904568
1544973,92559368
107944240,132361296
40400000,102477736
1800000,67097256
28126646,85392840
8000000,54602552
136300000,106922104
348807104,144972464
23144500,118859144
54744736,103864912
374100000,123129912
51680200,94234776
95200000,102844680
352800000,147063456
10000000,46843780
132965488,113709720
481840896,112471720
64337744,119014280
3052000,79096872
186200000,134886560
44908000,106043160
22304356,56850700
62771060,117230856
158261424,119626128
55494064,101958256
406000000,184386032
1850000,91545904
49369900,78916784
150406464,167198816
249600000,91920216
592565,98081784
85400000,89894816
470652992,92093784
214104624,98632384
599045952,151876016
21709020,73409600
42700000,122097640
358375616,152698784
132965488,120466520
5750000,66153272
531864992,179528864
6262663,54638376
132965488,79117160
99630672,113943816
309980000,177090608
8000000,127728648
1056057280,202011936
132965488,138879728
121969216,94042760
976475520,176234592
18432000,102831504
132965488,112199112
17218080,99247992
132965488,74890032
8600000,104388328
42100000,106512232
494879456,195580208
48138336,104093760
132965488,129944920
268100000,98099592
290061312,145668912
261656272,99286120
2200000,88986080
8742330,117829016
22472632,73212616
326709728,99073960
46720492,91862864
2956000,74560448
14575193,61783400
132965488,119721104
179265200,116547640
1637776,99017520
268031824,72646992
137700000,96715824
111800000,106532920
362744288,117170824
51074772,190969680
14296438,79617744
442824128,83975056
132965488,128498888
14114415,99416728
47318560,116917080
5303,127817976
183316448,116549064
12000000,76545016
122700000,96941344
