id,budget,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title
550,63000000,['Drama'],http://www.foxmovies.com/movies/fight-club,tt0137523,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",245.863,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,"['Fox 2000 Pictures', 'Regency Enterprises', 'The Linson Company', '20th Century Fox', 'Taurus Film']","['Germany', 'United States of America']",1999-10-15,139,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Mischief. Mayhem. Soap.,Fight Club
301337,68000000,"['Drama', 'Science Fiction']",,tt1389072,en,Downsizing,A kindly occupational therapist undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.,268.538,/5bNzInSSAXfr0MFlHfb4IoQePVx.jpg,"['Paramount', 'Ad Hominem Enterprises', 'Gran Via Productions']",['United States of America'],2017-12-22,135,"[{'english_name': 'Norwegian', 'iso_639_1': 'no', 'name': 'Norsk'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Vietnamese', 'iso_639_1': 'vi', 'name': 'Tiếng Việt'}, {'english_name': 'Icelandic', 'iso_639_1': 'is', 'name': 'Íslenska'}]",Released,We are meant for something bigger.,Downsizing
419430,4500000,"['Mystery', 'Thriller', 'Horror']",http://www.getoutfilm.com/,tt5052448,en,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",257.635,/mE24wUCfjK8AoBBjaMjho7Rczr7.jpg,"['Monkeypaw Productions', 'Blumhouse Productions', 'QC Entertainment']",['United States of America'],2017-02-24,104,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Just because you're invited, doesn't mean you're welcome.",Get Out
346364,79000000,['Horror'],http://itthemovie.com/,tt1396484,en,It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",239.918,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,"['New Line Cinema', 'Vertigo Entertainment', 'Lin Pictures', 'KatzSmith Productions']",['United States of America'],2017-09-06,135,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,You’ll float too.,It
426563,42000000,"['Mystery', 'Adventure', 'Comedy', 'Crime']",https://www.holmesandwatson.movie/,tt1255919,en,Holmes & Watson,"Detective Sherlock Holmes and Dr. John Watson join forces to investigate a murder at Buckingham Palace. They soon learn that they have only four days to solve the case, or the queen will become the next victim.",255.549,/orEUlKndjV1rEcWqXbbjegjfv97.jpg,"['Columbia Pictures', 'Mimran Schur Pictures', 'Gary Sanchez Productions', 'Mosaic Media Group']",['United States of America'],2018-12-25,90,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,They don't have a clue.,Holmes & Watson
420818,260000000,"['Adventure', 'Drama', 'Family', 'Animation']",https://movies.disney.com/the-lion-king-2019,tt6105098,en,The Lion King,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",221.103,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,"['Walt Disney Pictures', 'Fairview Entertainment']",['United States of America'],2019-07-12,118,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The King has Returned.,The Lion King
376866,9000000,['Drama'],http://www.foxsearchlight.com/jackie/,tt1619029,en,Jackie,"An account of the days of First Lady, Jacqueline Kennedy, in the immediate aftermath of John F. Kennedy's assassination in 1963.",242.841,/nF9N33PfhizMEzbfxHoxXBo2vx9.jpg,"['LD Entertainment', 'Protozoa Pictures', 'Fabula', 'Why Not Productions', 'Wild Bunch', 'Endemol Shine North America', 'Bliss Media']","['Chile', 'China', 'France', 'United States of America']",2016-12-02,100,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Jackie
345,65000000,"['Drama', 'Thriller', 'Mystery']",http://eyeswideshut.warnerbros.com/,tt0120663,en,Eyes Wide Shut,"After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",224.752,/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg,"['Warner Bros. Pictures', 'Pole Star', 'Hobby Films', 'Stanley Kubrick Productions']","['United Kingdom', 'United States of America']",1999-07-16,159,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Eyes Wide Shut
19,1300000,"['Drama', 'Science Fiction']",,tt0017136,de,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",212.472,/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg,['UFA'],['Germany'],1927-02-06,153,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis
540901,20000000,"['Drama', 'Comedy', 'Crime']",https://www.hustlers.movie/,tt5503686,en,Hustlers,A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.,221.452,/zBhv8rsLOfpFW2M5b6wW78Uoojs.jpg,"['STXfilms', 'Gloria Sanchez Productions', 'Nuyorican Productions', 'Annapurna Pictures']",['United States of America'],2019-09-12,110,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Hustle or be hustled.,Hustlers
531309,6000000,"['Horror', 'Science Fiction', 'Thriller', 'Mystery']",https://www.brightburn.movie/,tt7752126,en,Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",231.022,/sJWwkYc9ajwnPRSkqj8Aue5JbKz.jpg,"['Troll Court Entertainment', 'Screen Gems', 'Stage 6 Films', 'The H Collective']",['United States of America'],2019-05-09,91,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Evil has found its superhero,Brightburn
299534,356000000,"['Adventure', 'Science Fiction', 'Action']",https://www.marvel.com/movies/avengers-endgame,tt4154796,en,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",226.983,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,['Marvel Studios'],['United States of America'],2019-04-24,181,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Xhosa', 'iso_639_1': 'xh', 'name': ''}]",Released,Avenge the fallen.,Avengers: Endgame
9003,1000000,"['Horror', 'Thriller', 'Fantasy']",,tt0093177,en,Hellraiser,"Hedonist Frank Cotton finds a mysterious puzzle box that summons the Cenobites, who open the doors to a dominion where pain and pleasure are indivisible.",205.817,/3Z0oPHyLnk3Vx6ZMC1MiVwIrKhO.jpg,"['New World Pictures', 'Cinemarque Entertainment', 'Film Futures', 'Rivdel Films', 'New World']","['United Kingdom', 'United States of America']",1987-09-11,94,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,He'll tear your soul apart.,Hellraiser
473033,19000000,"['Drama', 'Thriller', 'Crime']",https://a24films.com/films/uncut-gems,tt5727208,en,Uncut Gems,"A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",223.685,/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg,"['A24', 'Elara Pictures', 'IAC Films', 'Sikelia Productions', 'Scott Rudin Productions']",['United States of America'],2019-08-30,136,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,This is how I win.,Uncut Gems
398978,159000000,"['Crime', 'Drama', 'History']",https://www.theirishman-movie.com,tt1302006,en,The Irishman,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",210.987,/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,"['Tribeca Productions', 'Sikelia Productions', 'Winkler Films']",['United States of America'],2019-11-01,209,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,His story changed history,The Irishman
424783,135000000,"['Action', 'Adventure', 'Science Fiction']",https://www.paramountmovies.com/movies/bumblebee,tt4701182,en,Bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",216.939,/fw02ONlDhrYjTSZV8XO6hhU3ds3.jpg,"['Paramount', 'Allspark Pictures', 'Bay Films', 'di Bonaventura Pictures', 'DeSanto/Murphy Productions', 'Tencent Pictures']","['China', 'United States of America']",2018-12-15,113,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Every hero has a beginning.,Bumblebee
1124,40000000,"['Drama', 'Mystery', 'Science Fiction']",http://wwws.warnerbros.de/theprestige/,tt0482571,en,The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",200.292,/tRNlZbgNCNOpLpbPEz5L8G8A0JN.jpg,"['Warner Bros. Pictures', 'Touchstone Pictures', 'Newmarket Films', 'Syncopy']","['United Kingdom', 'United States of America']",2006-10-17,130,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Are You Watching Closely?,The Prestige
793,6000000,"['Crime', 'Drama', 'Mystery', 'Thriller']",,tt0090756,en,Blue Velvet,"Clean-cut Jeffrey Beaumont realizes his hometown is not so normal when he discovers a human ear in a field, the investigation soon catapulting him toward a disturbed nightclub singer and a drug-addicted sadist.",207.96,/7hlgzJXLgyECS1mk3LSN3E72l5N.jpg,['DEG'],['United States of America'],1986-09-19,120,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It's a strange world.,Blue Velvet
453405,140000000,"['Science Fiction', 'Action', 'Thriller']",http://skydance.com/film/gemini-man/,tt1025100,en,Gemini Man,"Henry Brogan is an elite 51-year-old assassin who's ready to call it quits after completing his 72nd job. His plans get turned upside down when he becomes the target of a mysterious operative who can seemingly predict his every move. To his horror, Brogan soon learns that the man who's trying to kill him is a younger, faster, cloned version of himself.",186.314,/uTALxjQU8e1lhmNjP9nnJ3t2pRU.jpg,"['Skydance Media', 'Jerry Bruckheimer Films', 'Alibaba Pictures Group', 'Fosun Pictures', 'Paramount', 'Gobierno de Colombia', 'Hungarian National Film Fund']","['China', 'Colombia', 'Hungary', 'United States of America']",2019-10-02,117,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Who will save you from yourself?,Gemini Man
297761,175000000,"['Action', 'Adventure', 'Fantasy']",http://www.suicidesquad.com/,tt1386697,en,Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",195.995,/xFw9RXKZDvevAGocgBK0zteto4U.jpg,"['Warner Bros. Pictures', 'RatPac Entertainment', 'DC Films', 'Atlas Entertainment']",['United States of America'],2016-08-03,122,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Worst. Heroes. Ever.,Suicide Squad
301528,175000000,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",https://www.pixar.com/feature-films-toy-story-4,tt1979376,en,Toy Story 4,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",185.206,/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,"['Walt Disney Pictures', 'Pixar']",['United States of America'],2019-06-19,100,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Get Ready to Hit the Road,Toy Story 4
401898,5700000,"['Drama', 'Mystery', 'Thriller']",,tt6304046,no,Thelma,A college student starts to experience extreme seizures. She soon learns that the violent episodes are a symptom of inexplicable abilities.,184.119,/yzSfG8TLAqw7nMQh2lxirQkQpgs.jpg,"['Motlys', 'Film i Väst', 'Le Pacte', 'Filmpool Nord', 'Snowglobe', 'B-Reel Films', ""Don't Look Now"", 'Copenhagen Film Fund', 'Memento Films International']","['Denmark', 'France', 'Norway', 'Sweden']",2017-09-15,116,"[{'english_name': 'Norwegian', 'iso_639_1': 'no', 'name': 'Norsk'}, {'english_name': 'Swedish', 'iso_639_1': 'sv', 'name': 'svenska'}]",Released,,Thelma
